title,culture/people,media/materials,object type,place,collection history,image
Cupping horn,Chickasaw  ,Cut,Ceremonial/Ritual items: Doctor's items,Oklahoma; USA,"Collected from Old Lady Brown (Oklahoma Chickasaw), John Brown (Oklahoma Chickasaw), and Billie Walker (Oklahoma Chickasaw) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4135/268/022.700x700.jpg
Bag,Meskwaki (Fox)  ,Twined,Bags/Pouches (and parts),Iowa; USA,"Items in this set were collected from several Meskwaki (Fox) individuals (Pe'-mi'-ta, Kwe'-ta-dji', Ke'-ke'-kwu'-mo'-ha, Me'c-ki'-gwe', Pe'-mi'-ka-wi'-kw, Me's-kwa-na-kwi', Chief Joe Tesson, Mr. and Mrs. Jim Scott, Me's-kwa-gu'n, A-yan-a-pi', Mu'-dji'-kwaw, Wa-ta-dji', Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4127/583/015.700x700.jpg
Bag,Meskwaki (Fox)  ,Twined,Bags/Pouches (and parts),Iowa; USA,"Items in this set were collected from several Meskwaki (Fox) individuals (Pe'-mi'-ta, Kwe'-ta-dji', Ke'-ke'-kwu'-mo'-ha, Me'c-ki'-gwe', Pe'-mi'-ka-wi'-kw, Me's-kwa-na-kwi', Chief Joe Tesson, Mr. and Mrs. Jim Scott, Me's-kwa-gu'n, A-yan-a-pi', Mu'-dji'-kwaw, Wa-ta-dji', Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4127/574/006.700x700.jpg
Bag,Meskwaki (Fox)  ,Twined,Bags/Pouches (and parts),Iowa; USA,"Items in this set were collected from several Meskwaki (Fox) individuals (Pe'-mi'-ta, Kwe'-ta-dji', Ke'-ke'-kwu'-mo'-ha, Me'c-ki'-gwe', Pe'-mi'-ka-wi'-kw, Me's-kwa-na-kwi', Chief Joe Tesson, Mr. and Mrs. Jim Scott, Me's-kwa-gu'n, A-yan-a-pi', Mu'-dji'-kwaw, Wa-ta-dji', Ne'-ka-pa, and Janie) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4127/578/010.700x700.jpg
Robe,Oglala Lakota (Oglala Sioux)  ,Painted,Clothing/Garments: Outerwear (flat),"Pine Ridge, Pine Ridge Reservation; Oglala Lakota County; South Dakota; USA","Formerly owned by Chief Young-Man-Afraid-of-His-Horses; acquired from him in 1880 by John W. Alder (1844-1919), an Indian agent at Pine Ridge between 1879 and 1885; purchased by George Heye/MAI from John Alder or his son Eugene C. Alder (1876-1955) circa 1920.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10163/384/T000522A.700x700.jpg
Brooch,probably Mohegan (attributed)  ,"Hammered, cutout, stamped",Adornment/Jewelry,New London County; Connecticut; USA (inferred),"Formerly owned by Lester Skeesucks (Mohegan/Narragansett, 1826-1903); collected from him by anthropologist Frank G. Speck (1881-1950) in 1901; purchased by George Heye from Frank Speck in 1906.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10056/414/014.700x700.jpg
Strip/band,Anishinaabe (Chippewa/Ojibwa)  ,"Loom beadwork, sewn",Adornment/Jewelry,Wisconsin; USA,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10104/663/046.700x700.jpg
Mortar,Potawatomi [Oklahoma]  ,Carved,Food Gathering and Preparation,Oklahoma; USA,"Collected from Mrs. Whipple (Oklahoma Potawatomi) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4130/254/011.700x700.jpg
Hair comb,Inupiaq (Alaskan Inupiat Eskimo) [Kinugumiut/Kingegan/Cape Prince of Wales]  ,Incised,Personal items,Cape Prince of Wales; Bering Straits Native Corporation; Alaska; USA,Collection history unknown; formerly in the collection of Mrs. William Hart; purchased by George Heye from an unknown source circa 1915.,https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4041/528/056.700x700.jpg
Bow,Chickasaw  ,Carved,Hunting/Fishing/Warfare,Oklahoma; USA,"Collected from Gibson Kellar (Oklahoma Chickasaw) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4132/527/006.700x700.jpg
Moccasins,Caddo  ,Sewn,Clothing/Garments: Footwear,Oklahoma; USA,"Collected from David Shemamy (Ci-mi-mi, Caddo) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4065/898/014.700x700.jpg
Boy's leggings,Sac and Fox (Sauk & Fox)  ,"Sewn, ribbonwork appliqué, overlay beadwork",Clothing/Garments,Oklahoma; USA,"Collected from Mrs. Richard Duncan (Sac and Fox) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4130/122/024.700x700.jpg
Sash/Belt,"Absentee Shawnee [Shawnee, Oklahoma-Pottawatomie County]  ","Sewn, overlay beadwork, braided",Clothing/Garments: Accessories,Oklahoma; USA,"Collected from Nancy Wilson (Absentee Shawnee) in 1909 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member), assisted by Chief William M. Skye (Peoria, 1868-1923) and Hope M. Fulbright (1879-1949), during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10092/559/DSC00001.700x700.jpg
Mat needle,Meskwaki (Fox)  ,"Incised, stamped",Basketmaking and fiber-working tools,Iowa; USA,"Collected from Janie and Ca wa no' kwe (Meskwaki women) in 1910 by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) during fieldwork sponsored by George Heye.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4051/013/033.700x700.jpg
Mask outfit,probably Cubeo (Kobeua) (attributed)  ,"Sewn, dyed, painted",Ceremonial/Ritual items,"Rio Uaupés (Caiari, Vaupés); São Gabriel da Cachoeira Municipality; North Mesoregion, Rio Negro Micoregion; Amazonas State, North Region; Brazil","Collection history unknown; formerly in the collection of Alan C. Lapiner (1933-1975, owner of Arts of the Four Quarters, a gallery in New York City); donated to MAI by Alan Lapiner in 1966.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10192/834/237047_000_001_20120529_ps.700x700.jpg
Bowl/Dish,Seneca [Cattaraugus]  ,"Stitched, aboriginally repaired",Containers and Vessels,"Cattaraugus Reservation; Erie County, Cattaraugus County, Chautauqua County; New York; USA","Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/4118/222/109.700x700.jpg
Wallpocket,Anishinaabe (Chippewa/Ojibwa)  ,"Dyed, quill embroidered, stitched",Made-for-Sale items and Souvenirs,Ontario; Canada,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10220/381/250441_000_001_20130213_ps.700x700.jpg
Canoe paddle model/miniature,Anishinaabe (Chippewa/Ojibwa)  ,"Pyroengraved, carved",Watercraft and accessories,Ontario; Canada,"Collected by anthropologist Mark Raymond Harrington (1882-1971, MAI staff member) before 1915; inherited by his widow, Marie Walsh Harrington (1907-1986); purchased by MAI from Marie Harrington in 1981.",https://ids.si.edu/ids/deliveryService?&id=https://americanindian.si.edu/webmultimedia/10105/085/053.700x700.jpg
